SrcIP,SrcPort,DstIP,DstPort,Proto,StartTime,EndTime,Duration,TotalPackets,TotalBytes,PacketsPerSec,BytesPerSec,FwdPackets,BwdPackets,FwdBytes,BwdBytes,FwdPktRatio,FwdByteRatio,DownUpByteRatio,DownUpPktRatio,PktLenMin,PktLenMax,PktLenMean,PktLenStd,PktLenCV,FwdPktLenMin,FwdPktLenMax,FwdPktLenMean,FwdPktLenStd,FwdPktLenCV,BwdPktLenMin,BwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenCV,PktLenEntropy,FwdPktLenEntropy,BwdPktLenEntropy,IATMin,IATMax,IATMean,IATStd,IATCV,FwdIATMin,FwdIATMax,FwdIATMean,FwdIATStd,FwdIATCV,BwdIATMin,BwdIATMax,BwdIATMean,BwdIATStd,BwdIATCV,ActiveMin,ActiveMax,ActiveMean,ActiveStd,ActiveCV,IdleMin,IdleMax,IdleMean,IdleStd,IdleCV,FwdActiveMin,FwdActiveMax,FwdActiveMean,FwdActiveStd,FwdActiveCV,FwdIdleMin,FwdIdleMax,FwdIdleMean,FwdIdleStd,FwdIdleCV,BwdActiveMin,BwdActiveMax,BwdActiveMean,BwdActiveStd,BwdActiveCV,BwdIdleMin,BwdIdleMax,BwdIdleMean,BwdIdleStd,BwdIdleCV,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,FwdTCP_FIN,FwdTCP_SYN,FwdTCP_RST,FwdTCP_PSH,FwdTCP_ACK,FwdTCP_URG,FwdTCP_ECE,FwdTCP_CWR,BwdTCP_FIN,BwdTCP_SYN,BwdTCP_RST,BwdTCP_PSH,BwdTCP_ACK,BwdTCP_URG,BwdTCP_ECE,BwdTCP_CWR
10.0.2.15,39014,20.189.173.14,443,6,1771377565.4153388,1771377566.1320298,0.7166910171508789,32,19517,44.64964571094005,27232.09797938803,14,18,13321,6196,0.4375,0.6825331762053595,0.4651302454770663,1.2857142857142858,54,1514,609.9062500000001,668.5798313794841,1.096200983970051,54,1514,951.5,678.3697369429152,0.712947700412943,60,1494,344.22222222222223,540.7165785332031,1.5708357672042699,2.8995310230081115,2.064042639445697,1.7916674843771045,0.0,0.40405702590942383,0.0231190650693832,0.07704723575463608,3.332627661343904,2.384185791015625e-07,0.4043612480163574,0.04727583665114183,0.11398608735611254,2.411085565703246,0.0,0.40405702590942383,0.03600119141971364,0.10052032732680452,2.7921389088184814,0.7166910171508789,0.7166910171508789,0.7166910171508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145858764648438,0.6145858764648438,0.6145858764648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120202541351318,0.6120202541351318,0.6120202541351318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,8,31,0,0,0,0,1,0,4,13,0,0,0,1,1,0,4,18,0,0,0
10.0.2.15,39014,20.189.173.14,443,6,1771377566.1322942,1771377566.1339438,0.001649618148803711,4,246,2424.8035843329963,149125.42043647927,3,1,186,60,0.75,0.7560975609756098,0.3225806451612903,0.3333333333333333,54,78,61.5,11.357816691600547,0.18467994620488695,54,78,62.0,13.856406460551018,0.22349042678308093,60,60,60.0,0.0,0.0,1.5,0.9182958340544896,0.0,5.3882598876953125e-05,0.0012581348419189453,0.0005498727162679036,0.0006295636745683446,1.1449261909943806,0.0003914833068847656,0.0012581348419189453,0.0008248090744018555,0.0006128151773483993,0.7429782192840296,0.0,0.0,0.0,0.0,0.0,0.001649618148803711,0.001649618148803711,0.001649618148803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001649618148803711,0.001649618148803711,0.001649618148803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,4,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
10.0.2.15,59190,23.219.36.88,443,6,1771377566.2203815,1771377566.2203817,2.384185791015625e-07,2,138,8388608.0,578813952.0,2,0,138,0,1.0,1.0,0.0,0.0,60,78,69.0,12.727922061357855,0.1844626385704037,60,78,69.0,12.727922061357855,0.1844626385704037,0,0,0.0,0.0,0.0,1.0,1.0,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
10.0.2.15,59190,23.219.36.88,443,6,1771377566.2206774,1771377566.2206774,0.0,1,54,0.0,0.0,1,0,54,0,1.0,1.0,0.0,0.0,54,54,54.0,0.0,0.0,54,54,54.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0.2.15,55052,20.50.80.214,443,6,1771377569.0191863,1771377569.0191863,0.0,1,60,0.0,0.0,1,0,60,0,1.0,1.0,0.0,0.0,60,60,60.0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0.2.15,45810,20.190.157.9,443,6,1771377601.5304458,1771377601.5304458,0.0,1,60,0.0,0.0,1,0,60,0,1.0,1.0,0.0,0.0,60,60,60.0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0.2.15,55060,20.50.80.214,443,6,1771377566.874176,1771377603.0403645,36.16618847846985,3,174,0.08295040550888946,4.811123519515589,1,2,54,120,0.3333333333333333,0.3103448275862069,2.2222222222222223,2.0,54,60,58.0,3.4641016151377544,0.05972588991616818,54,54,54.0,0.0,0.0,60,60,60.0,0.0,0.0,0.9182958340544896,0.0,0.0,0.0001819133758544922,36.166006565093994,18.083094239234924,25.573099858433505,1.4141993355842553,0.0,0.0,0.0,0.0,0.0,36.166006565093994,36.166006565093994,36.166006565093994,0.0,0.0,0.0,0.0001819133758544922,9.09566879272461e-05,0.0001286321816552486,1.4142135623730951,36.166006565093994,36.166006565093994,36.166006565093994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.166006565093994,36.166006565093994,36.166006565093994,0.0,0.0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
10.0.2.15,36190,52.112.72.231,443,6,1771377581.2107408,1771377615.2774749,34.066734075546265,3,174,0.08806244805701688,5.107621987306979,1,2,54,120,0.3333333333333333,0.3103448275862069,2.2222222222222223,2.0,54,60,58.0,3.4641016151377544,0.05972588991616818,54,54,54.0,0.0,0.0,60,60,60.0,0.0,0.0,0.9182958340544896,0.0,0.0,0.0005030632019042969,34.06623101234436,17.033367037773132,24.08810723889473,1.4141717950113464,0.0,0.0,0.0,0.0,0.0,34.06623101234436,34.06623101234436,34.06623101234436,0.0,0.0,0.0,0.0005030632019042969,0.00025153160095214844,0.00035571940143194563,1.4142135623730951,34.06623101234436,34.06623101234436,34.06623101234436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.06623101234436,34.06623101234436,34.06623101234436,0.0,0.0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
10.0.2.15,38880,13.107.246.35,443,6,1771377609.8820899,1771377653.2848833,43.402793407440186,5,339,0.11519995851563994,7.810557187360388,3,2,162,177,0.6,0.4778761061946903,1.0925925925925926,0.6666666666666666,54,117,67.8,27.62607463973121,0.40746422772464913,54,54,54.0,0.0,0.0,60,117,88.5,40.30508652763321,0.4554247065269289,1.3709505944546687,0.0,1.0,0.00011444091796875,43.401692152023315,10.850698351860046,21.70066253464985,1.9999323390028518,0.0006687641143798828,43.402124643325806,21.701396703720093,30.68946376555915,1.4141699810638597,43.401692152023315,43.401692152023315,43.401692152023315,0.0,0.0,0.0003180503845214844,0.0007832050323486328,0.0005506277084350586,0.00032891400577901705,0.5973437237908441,43.401692152023315,43.401692152023315,43.401692152023315,0.0,0.0,0.0,0.0006687641143798828,0.0003343820571899414,0.00047288764029223103,1.4142135623730951,43.402124643325806,43.402124643325806,43.402124643325806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.401692152023315,43.401692152023315,43.401692152023315,0.0,0.0,1,0,0,1,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0
10.0.2.15,38880,13.107.246.35,443,6,1771377653.2896554,1771377653.2896554,0.0,1,60,0.0,0.0,1,0,60,0,1.0,1.0,0.0,0.0,60,60,60.0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
